text,sentiment
"I love this product, it is excellent, amazing and wonderful","positive"
"This is a terrible experience, I hate it so much","negative"
"The movie was okay, not bad but not great","neutral"
"Absolutely fantastic service and friendly staff","positive"
"Worst purchase ever, completely disappointing and awful","negative"
"The quality is decent and works as expected","neutral"
"Great value for money and superb performance","positive"
"I am unhappy with the broken item","negative"
"Neither good nor bad, it just works","neutral"
"Delighted with the fast shipping and quality","positive"
"Horrible taste and makes me sick","negative"
"Average build, nothing special to mention","neutral"
"Brilliant idea and well executed project","positive"
"Disgusting behavior and rude support","negative"
"It’s fine, acceptable for the price","neutral"
"Excellent sound and comfortable fit","positive"
"The battery died quickly and it overheats","negative"
"Okay performance with some minor issues","neutral"
"Superb camera and beautiful screen","positive"
"Very bad software and frequent crashes","negative"
"Works, but I feel indifferent overall","neutral"
"I am very happy with this purchase","positive"
"I regret buying this, it’s awful","negative"
"It’s neither impressive nor disappointing","neutral"
"Top-notch quality and outstanding results","positive"
"Utterly useless and a waste of money","negative"
"Moderately useful, meets basic needs","neutral"
"I like it a lot, highly recommend","positive"
"Do not buy, terrible build quality","negative"
"Service was normal, nothing more","neutral"
