timestamp	amount	reference_code	category	notes
2025-10-01 09:16:00	2500.00	LEDGER-100234	revenue	Acme Corp payment received
2025-10-01 14:31:00	875.50	LEDGER-100235	revenue	Invoice 4521 payment
2025-10-02 10:23:00	6200.00	LEDGER-100236	revenue	TechStart wire transfer
2025-10-02 16:45:00	1250.00	LEDGER-100237	revenue	Online order 8821
2025-10-03 11:06:00	450.75	LEDGER-100238	revenue	Customer payment
2025-10-03 15:21:00	3100.00	LEDGER-100239	revenue	Q4 services corporate
2025-10-05 08:46:00	1875.00	LEDGER-100240	revenue	Annual subscription
2025-10-05 13:11:00	920.25	LEDGER-100241	revenue	Invoice 4589 settled
2025-10-07 10:36:00	5500.00	LEDGER-100242	revenue	Enterprise license
2025-10-08 09:21:00	750.00	LEDGER-100243	revenue	Monthly retainer Oct
2025-10-08 14:56:00	2200.00	LEDGER-100244	revenue	Milestone payment
2025-10-10 11:41:00	1650.00	LEDGER-100245	revenue	Consulting services
2025-10-12 10:16:00	890.50	LEDGER-100246	revenue	Product batch 442
2025-10-12 15:26:00	4300.00	LEDGER-100247	revenue	Contract phase 2
2025-10-14 09:51:00	1125.00	LEDGER-100248	revenue	Service fee October
2025-10-15 13:31:00	3750.00	LEDGER-100249	revenue	Quarterly payment
2025-10-15 16:43:00	-450.00	LEDGER-100250	refund	Order 7823 refund
2025-10-17 10:06:00	2800.00	LEDGER-100251	revenue	Partnership revenue
2025-10-18 14:22:00	1560.00	LEDGER-100252	revenue	License renewal
2025-10-19 11:36:00	950.75	LEDGER-100253	revenue	Commission payment
2025-10-21 09:46:00	6800.00	LEDGER-100254	revenue	Major client payment
2025-10-22 15:11:00	1200.00	LEDGER-100255	revenue	Training services
2025-10-23 10:26:00	2950.00	LEDGER-100256	revenue	Integration services
2025-10-24 13:51:00	825.50	LEDGER-100257	revenue	Maintenance fee
2025-10-25 11:16:00	4100.00	LEDGER-100258	revenue	Sprint payment
2025-10-26 14:31:00	1750.00	LEDGER-100259	revenue	Week 42 consulting
2025-10-28 10:41:00	3200.00	LEDGER-100260	revenue	Platform subscription
2025-10-29 15:06:00	1425.00	LEDGER-100261	revenue	Premium support
2025-10-30 09:26:00	5200.00	LEDGER-100262	revenue	Year-end bonus
2025-10-31 13:46:00	2100.00	LEDGER-100263	revenue	Final invoice Oct
2025-10-04 10:30:00	1500.00	LEDGER-100264	revenue	Unmatched ledger entry
2025-10-11 14:45:00	3300.00	LEDGER-100265	revenue	Missing from other systems
2025-10-27 16:00:00	2750.00	LEDGER-100266	revenue	Ledger only transaction
bad-timestamp	not-a-number	LEDGER-FAULTY	revenue	Corrupted ledger row
2025-10-09 12:05:30	1500.00	LEDGER-TIME1500	revenue	Timing reference mismatch
2025-10-06 10:21:00	2100.00	LEDGER-MISM123	revenue	Amount mismatch ledger sample
